<<<<<<< HEAD
Name,Designation,Gender,Age,Salary
<<<<<<< HEAD
Mukhtar,Prrofessor,M,37,115000
Aziz,Teacher,M,30,35000
=======
Mukhtar,Professor,M,37,115000
Azziz,Teacher,M,30,35000
>>>>>>> 2ceedf8 (Rafia's Files)
Mohsin,Engineer,M,29,50000
Naveed Fatima,Analyst,F,30,70000
Babar,Engineer,F,25,150000
Aqsa,Scientist,F,22,nan
<<<<<<< HEAD
Rafia ,Analyst,F,29,20000
Samra,Scientist,F,26,115000
Eman ,Engineer,F,28,35000
Abdullah,Teacher,M,55,nan
Mosib,Professor,M,60,70000
Ahmed,Engineer,M,nan,90000
Ahsan,trainer,M,156,110000
Wajid,Teacher,M,67,2000
Naeem,trainer,M,80,16000
Qaisar,Prrofessor,M,20,170000
Wajid,Engineer,M,85,190000
=======
Rafia,Analyst,F,29,20000
Samra,Scientist,F,26,115000
Eman,Engineer,F,28,35000
Abdullah,Teacher,M,55,nan
Mosib,Professor,M,60,7000
Ahmed,Engineer,M,nan,9000
Ahsan,Trainer,M,156,11000
Wajid,Teacher,M,67,2000
Naeem,Trainer,M,80,16000
Qaisar,Professor,M,20,17000
Wajid,Engineer,M,85,19000
>>>>>>> 2ceedf8 (Rafia's Files)
=======
Name,Gender,Age,Salary,Designation
Aqsa,F,23,100000,Data scientist
Samra,F,19,150000,Professor
Eman,F,34,200000,Student
Rafia,F,27,35000,Engineer
Naveed Fatima,F,30,45000,Teacher
Muhktar,M,24,5600,Professor
Aziz,M,45,nan,Engineer
Laiba,F,35,56000,Emgineer
Salman,M,nan,8900,Teacher
Ahmed,M,28,450000,Professor
Shakeel,M,30,67000,Trainer
Qaiser,M,29,nan,Engineer
Wajid,M,25,45670,Teacher
Naeem,M,27,84375,Professor
>>>>>>> 114242b (yesterday files)
